Name,Code,Indicator_Name,Indicator_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Qatar,QAT,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,Voice and Accountability: Standard Error,VA.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208809838,,0.214446098,,0.207885876,,0.194948539,0.19165872,0.166696995,0.167046323,0.154882282,0.137756124,0.137425736,0.130155653,0.127588466,0.131067753,0.129897103,0.127207249,0.136254102,0.135746583,0.131357223,0.132103518,0.137474984,0.129972279,0.135066748,0.136808723,0.134817645
Qatar,QAT,Voice and Accountability: Number of Sources,VA.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,6,,7,7,8,9,10,10,10,14,14,13,13,13,11,10,10,10,10,9,8,8,8
Qatar,QAT,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027080653,,0.005507629,0.002067098,0.000299216,0.049124709,1.101173545,0.001132908,0.005506202,1.798843133,0.002503856,7.104237403,1.712115258,
Qatar,QAT,Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,7.393156373,7.400966044,5.650297854,4.369511609,5.874175124,4.450211556,2.406680657,2.583699894,2.876562603,3.497431544,4.593388879,3.966011878,4.862822571,4.140427891,4.09487147,4.56215104,5.771370676,7.053897492,6.451109889,9.252148456,14.86961591,13.94234903,14.07957939,17.16277387,23.96273105,33.04045585,43.67132064,53.891142,86.32321586,61.5704483,96.14395337,146.7826291,170.5273306,175.5202075,168.769696,100,73.49986122,86.56813103,108.8924482,93.54103695,66.05546381,111.8405592,
Qatar,QAT,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,,,,,,,,,,,,,8.117331192,0.0016064,,,4.209211384,,3.809318378,1.305158656,2.8925472,0.496929908,0.496929908,0.496929908,0.496929908,0.496929908,1.07794126,0.017742828,0.005029956,0.04845325,0.70007515,0.693686625,0.689272395,0.74569515,0.811133444,1.077421797,0.762284566,0.918878503,1.340674107,0.578001157,0.669342982,0.923107179,0.568299542,0.639235977,0.766097931,0.984403429,0.659733061,0.425836391,0.093224437,0.522629777,0.519011545,0.880401657,1.033064258,0.827391472,0.660030738,0.930276118,1.174768323,0.713231593,0.899494569,0.759106493,0.820035205,,
Qatar,QAT,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,,,,,,,,,,0.863172158,,,,0.047523354,,,,0.004707309,,,,,,0.088331819,0.043356033,0.06851056,0.043855751,0.00634965,0.027243682,,0.139453081,0.059601503,0.040909611,0.049011483,0.234121208,1.183925655,0.208936058,0.08537287,0.04781045,0.051295685,0.04309024,0.036455984,0.11003231,0.103044688,0.044199899,0.133253601,0.274648802,1.071397848,0.678235345,0.92390311,0.437017207,0.86429759,1.244895098,0.739725832,0.846782436,1.318265132,1.298852486,1.609762931,,
Qatar,QAT,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,126000000,122000000,131000000,136000000,151000000,163000000,180000000,202000000,211000000,223000000,240000000,315000000,397000000,628000000,2015000000,1805000000,2210000000,2072000000,2391000000,3753000000,5680000000,5686000000,4341000000,3357000000,4513000000,3419000000,1849000000,1985000000,2210000000,2687000000,3641000000,3210000000,3841000000,3245000000,3213000000,3557000000,4500000000,5500000000,5030000000,7214000000,11594000000,10871000000,10978000000,13382000000,18684000000,25762000000,34051000000,42020000000,67307000000,48007000000,74964000000,1.14448E+11,1.32962E+11,1.36855E+11,1.31592E+11,77971000000,57309000000,67498000000,84905000000,72935000000,51504000000,87203000000,1.30964E+11
Qatar,QAT,Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.597085467,6.961730656,7.322898736,6.756989247,3.921377644,3.562999188,2.358971144,3.998887481,5.046297684,5.154346364,5.815344927,6.163859465
Qatar,QAT,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,0.060754302,0.011793157,0.005803644,0.006766356,,,,,,,,,,,,,,,,0.046189229,0.040442715,0.02275435,0.015208405,0.028775404,0.008864244,,0.005065457,0.010295821,0.013508511,0.019031473,0.023748686,0.013015135,0.007052941,0.005523339,0.003732128,0.000725469,9.06E-05,0.001498631,0.000205483,5.33E-06,0.003578172,0.006085271,0.000658148,0.00706496,0.004591791,0.003975387,0.010144772,0.008617969,0.01755354,0.009730276,0.013820847
